genres,game_name,game_id,release_year
Casual,RIP - Trilogy™,2540,2007
Indie,RIP - Trilogy™,2540,2007
Strategy,X-COM: Terror From the Deep,7650,1995
Action,Tomb Raider: Anniversary,8000,2007
Adventure,Tomb Raider: Anniversary,8000,2007
Action,Devil May Cry® 3 Special Edition,6550,2006
Action,Sam & Max 101: Culture Shock,8200,2006
Adventure,Sam & Max 101: Culture Shock,8200,2006
Action,Final DOOM,2290,1996
Indie,Vigil: Blood Bitterness™,2570,2007
RPG,Vigil: Blood Bitterness™,2570,2007
Action,Sam & Max 102: Situation: Comedy,8210,2006
Adventure,Sam & Max 102: Situation: Comedy,8210,2006
Action,Ultimate Doom,2280,1995
Action,Master Levels for Doom II,9160,1995
Action,DOOM II,2300,1994
Action,Wolfenstein 3D,2270,1994
Action,Return to Castle Wolfenstein,9010,2001
Action,QUAKE Mission Pack 1: Scourge of Armagon,9040,1997
Action,Spear of Destiny,9000,1993
Action,BloodRayne,3810,2003
Action,QUAKE Mission Pack 2: Dissolution of Eternity,9030,2007
Action,QUAKE,2310,2007
Strategy,Genesis Rising,3230,2007
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006
Action,BioShock™,7670,2007
RPG,BioShock™,7670,2007
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570,2006
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580,2006
Strategy,Rome: Total War™ - Collection,4760,2004
Strategy,Rome: Total War™ - Alexander,4770,2006
Casual,Mystery Case Files: Madame Fate®,50970,2007
Action,Grand Theft Auto,12170,1998
Action,Grand Theft Auto 2,12180,1999
Action,Manhunt,12130,2004
Racing,Midnight Club 2,12160,2003
Action,Max Payne 2: The Fall of Max Payne,12150,2003
Action,Tomb Raider: Legend,7000,2006
Adventure,Tomb Raider: Legend,7000,2006
Action,Max Payne,12140,2001
Strategy,Command & Conquer: Red Alert 3,17480,2008
Casual,PuzzleQuest: Challenge of the Warlords,12500,2007
RPG,Culpa Innata,12310,2007
Casual,Culpa Innata,12310,2007
Adventure,Culpa Innata,12310,2007
Strategy,Prison Tycoon 3™: Lockdown,12510,2007
Action,Hunting Unlimited™ 2008,12530,2007
Adventure,Hunting Unlimited™ 2008,12530,2007
Strategy,Hunting Unlimited™ 2008,12530,2007
Racing,18 Wheels of Steel: American Long Haul,12520,2007
Action,Conflict: Denied Ops,8100,2008
Action,ARMA: Combat Operations,2780,2007
Simulation,Tycoon City: New York,9730,2006
Action,Desperados 2: Cooper's Revenge,9710,2006
Action,Death to Spies,9800,2007
Adventure,Death to Spies,9800,2007
Action,Act of War: High Treason,9760,2006
Simulation,RollerCoaster Tycoon® 3: Platinum,2700,2006
Strategy,RollerCoaster Tycoon® 3: Platinum,2700,2006
Action,Act of War: Direct Action,2710,2005
Action,Unreal 2: The Awakening,13200,2003
Action,Unreal Gold,13250,1998
Casual,Ninja Reflex: Steamworks Edition,13000,2008
Indie,Ninja Reflex: Steamworks Edition,13000,2008
Action,Tom Clancy's Splinter Cell®,13560,2003
Action,Far Cry®,13520,2004
Action,Unreal Tournament: Game of the Year Edition,13240,2000
Action,Tom Clancy's Rainbow Six® Vegas,13540,2006
Simulation,Silent Hunter® III,15210,2005
Casual,Virtual Villagers - The Secret City,16180,2008
Simulation,Virtual Villagers - The Secret City,16180,2008
Casual,Mystery P.I.™ - The Vegas Heist,3520,2008
Casual,Luxor,15970,2008
Casual,Reaxxion,15950,2008
Casual,Little Farm,15960,2008
Casual,7 Wonders II,15900,2008
Casual,Luxor Amun Rising,15910,2005
Casual,Luxor 3,15930,2007
Simulation,Petz® Horsez® 2,15160,2007
Casual,Luxor 2,15920,2005
Action,Rayman Raving Rabbids™,15080,2007
Adventure,Rayman Raving Rabbids™,15080,2007
Simulation,Silent Hunter®: Wolves of the Pacific,15200,2007
Simulation,IL-2 Sturmovik: 1946,15320,2006
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240,2008
Adventure,Bone: Out From Boneville,8310,2005
Racing,Midnight Outlaw: 6 Hours to SunUp,12600,2005
Adventure,Bone: The Great Cow Race,8320,2006
Racing,Sprint Cars Road to Knoxville,12590,2008
,Dr. Daisy Pet Vet,12580,2008
Simulation,Ride! Carnival Tycoon,12560,2007
,Hot Dish,12570,2008
Casual,Mahjongg Investigations: Under Suspicion,12540,2007
Adventure,Dracula Origin,11050,2008
Sports,Beijing 2008™ - The Official Video Game of the Olympic Games,10520,2008
Adventure,Sherlock Holmes - Nemesis,11040,2008
RPG,Sherlock Holmes - Nemesis,11040,2008
Adventure,Eternity's Child,19500,2008
Indie,Eternity's Child,19500,2008
Simulation,Pacific Storm Allies,11260,2007
Strategy,Pacific Storm Allies,11260,2007
Action,Tank Universal,19200,2008
Indie,Tank Universal,19200,2008
Racing,FlatOut: Ultimate Carnage,12360,2008
Adventure,Oddworld: Abe's Exoddus®,15710,1998
Adventure,Oddworld: Abe's Oddysee®,15700,1997
Racing,GTR Evolution Expansion Pack for RACE 07,8660,2008
Strategy,X-COM: Enforcer,7770,2001
Strategy,X-COM: Apocalypse,7660,1997
Strategy,X-COM: UFO Defense,7760,1993
Action,S.T.A.L.K.E.R.: Clear Sky,20510,2008
RPG,S.T.A.L.K.E.R.: Clear Sky,20510,2008
Action,Crysis Warhead®,17330,2008
Action,Crysis,17300,2007
Strategy,X-COM: Interceptor,7730,1998
Action,The Witcher: Enhanced Edition Director's Cut,20900,2008
RPG,The Witcher: Enhanced Edition Director's Cut,20900,2008
Indie,Multiwinia,1530,2008
Racing,STCC - The Game 1 - Expansion Pack for RACE 07,8690,2008
Strategy,Children of the Nile: Alexandria,17120,2008
Simulation,Children of the Nile: Alexandria,17120,2008
Strategy,Sid Meier's Civilization IV: Colonization,16810,2008
Action,Tom Clancy's Rainbow Six® 3 Gold,19830,2003
Action,LEGO Batman,21000,2008
Adventure,LEGO Batman,21000,2008
Simulation,City Life 2008,4460,2008
Strategy,City Life 2008,4460,2008
RPG,Hinterland,17140,2008
Strategy,Hinterland,17140,2008
Action,Brothers in Arms: Hell's Highway™,15390,2008
Indie,Gravitron 2,21300,2008
Casual,Gravitron 2,21300,2008
Racing,Xpand Rally Xtreme,3050,2006
Strategy,Heroes of Might & Magic V: Hammers of Fate,15380,2006
Action,Brothers in Arms: Earned in Blood™,19800,2005
Strategy,Heroes of Might & Magic V: Tribes of the East,15370,2007
Strategy,The Settlers®: Rise Of An Empire Gold Edition,19930,2008
Casual,Brain Spa,15350,2007
Action,The Sum of All Fears,19810,2002
Casual,Peggle™ Nights,3540,2008
Indie,World of Goo,22000,2008
Action,X3: Terran Conflict,2820,2008
Simulation,X3: Terran Conflict,2820,2008
Strategy,X3: Terran Conflict,2820,2008
Action,Mare Nostrum,1230,2008
Casual,Spectraball,18300,2008
Indie,Spectraball,18300,2008
Indie,Galactic Bowling,20200,2008
Casual,Galactic Bowling,20200,2008
Sports,Galactic Bowling,20200,2008
Action,Bully: Scholarship Edition,12200,2008
Adventure,Bully: Scholarship Edition,12200,2008
Action,Far Cry® 2: Fortune's Edition,19900,2008
Action,Space Trader: Merchant Marine,11240,2008
Indie,Space Trader: Merchant Marine,11240,2008
Strategy,Space Trader: Merchant Marine,11240,2008
Simulation,PRR Wagon Pack 01,256522,2009
Simulation,"Class 421 London South East ""Jaffa Cake""",275144,2009
Simulation,ATSF Wagon Pack 01,256521,2009
Simulation,GP20 Union Pacific Add-on Livery,222569,2009
Simulation,UK Van Wagon Pack,256535,2009
Simulation,CSX SD70MAC Add-on Livery,256611,2009
Simulation,CSX ES44AC Add-on Livery,256576,2009
Action,Saints Row 2,9480,2009
Action,Dead Space,17470,2008
RPG,Rise of the Argonauts,12770,2008
Action,Mirror's Edge™,17410,2009
Adventure,Mirror's Edge™,17410,2009
Indie,Defense Grid: The Awakening,18500,2008
Strategy,Defense Grid: The Awakening,18500,2008
Action,F.E.A.R. 2: Project Origin,16450,2009
Strategy,Harvest: Massive Encounter,15400,2008
Indie,Harvest: Massive Encounter,15400,2008
Indie,Mayhem Intergalactic,18600,2007
Strategy,Mayhem Intergalactic,18600,2007
Action,Larva Mortus,11340,2009
Indie,Larva Mortus,11340,2009
Strategy,Knights of Honor,25830,2005
Action,Ceville,23460,2009
Adventure,Ceville,23460,2009
Strategy,Ceville,23460,2009
Strategy,Empire: Total War™ - Special Forces Units & Bonus Content,10600,2009
Action,Watchmen: The End is Nigh,21010,2009
Action,Penumbra Overture,22180,2007
Adventure,Penumbra Overture,22180,2007
Indie,Penumbra Overture,22180,2007
Action,Unreal Tournament 3 Black,13210,2007
RPG,Drakensang,12640,2009
Casual,Age of Booty™,21600,2009
Strategy,Age of Booty™,21600,2009
Indie,The Graveyard,27020,2008
Simulation,The Graveyard,27020,2008
Racing,Burnout Paradise: The Ultimate Box,24740,2009
Action,Zombie Master,90047,2009
Action,The Maw,26000,2009
Indie,The Maw,26000,2009
Action,The Maw: River Redirect,26006,2009
Indie,The Maw: River Redirect,26006,2009
Action,The Maw: Brute Force,26005,2009
Indie,The Maw: Brute Force,26005,2009
Casual,Obulis,11330,2009
Indie,Obulis,11330,2009
Indie,Space Giraffe,27800,2009
Simulation,Codename: Panzers - Cold War,9850,2009
Strategy,Codename: Panzers - Cold War,9850,2009
Casual,Escape Rosecliff Island,3600,2009
RPG,Guild Wars Nightfall,29580,2006
Massively Multiplayer,Guild Wars Nightfall,29580,2006
RPG,Guild Wars,29540,2005
Massively Multiplayer,Guild Wars,29540,2005
RPG,Guild Wars Factions,29560,2006
Massively Multiplayer,Guild Wars Factions,29560,2006
Massively Multiplayer,Guild Wars Trilogy,29570,2008
RPG,Guild Wars Trilogy,29570,2008
Casual,Puzzle Kingdoms,23700,2009
Casual,Samantha Swift and the Golden Touch,16060,2009
RPG,Two Worlds Epic Edition,1930,2009
Strategy,Helldorado,18470,2009
Action,X-Blades,7510,2009
Adventure,X-Blades,7510,2009
RPG,X-Blades,7510,2009
Action,Zeno Clash,22200,2009
Indie,Zeno Clash,22200,2009
Indie,The Maw: Speeder Lane,26007,2009
RPG,King's Bounty: The Legend,25900,2008
Strategy,King's Bounty: The Legend,25900,2008
Casual,Virtual Families,16200,2009
Simulation,Virtual Families,16200,2009
Racing,Death Track®: Resurrection,7840,2009
RPG,Freedom Force vs. the Third Reich,8890,2005
Strategy,Freedom Force vs. the Third Reich,8890,2005
RPG,Freedom Force,8880,2002
Strategy,Freedom Force,8880,2002
Indie,Light of Altair,34500,2009
Simulation,Light of Altair,34500,2009
Strategy,Light of Altair,34500,2009
Action,Darkest Hour: Europe '44-'45,1280,2009
Simulation,Darkest Hour: Europe '44-'45,1280,2009
Action,Prototype™,10150,2009
Adventure,Prototype™,10150,2009
Adventure,Blueberry Garden,29160,0
Indie,Blueberry Garden,29160,0
Strategy,Port Royale 2,12470,2004
,Call of Cthulhu®: Dark Corners of the Earth,22340,2006
RPG,The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330,2007
RPG,The Elder Scrolls III: Morrowind® Game of the Year Edition,22320,2002
,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,900883,2009
Adventure,Ankh 2: Heart of Osiris,12440,2007
Simulation,Armored Fist 3,32710,1999
Simulation,MiG-29 Fulcrum,32740,1998
Strategy,BC Kings,12460,2008
Action,Call of Juarez®: Bound in Blood,21980,2009
Adventure,Nancy Drew®: Legend of the Crystal Skull,31860,2007
Adventure,Nancy Drew®: The Creature of Kapu Cave,31900,2006
Adventure,Nancy Drew®: The Phantom of Venice,31920,2008
Adventure,Nancy Drew®: The White Wolf of Icicle Creek,31930,2007
Casual,BRAINPIPE: A Plunge to Unhumanity,35800,2008
Indie,BRAINPIPE: A Plunge to Unhumanity,35800,2008
Simulation,Hunting Unlimited 2010,12690,2009
Sports,Hunting Unlimited 2010,12690,2009
Adventure,Tales of Monkey Island Complete Pack,31170,2009
Action,Street Fighter® IV,21660,2009
Action,Thrillville®: Off the Rails™,6080,2007
Adventure,Thrillville®: Off the Rails™,6080,2007
Racing,Thrillville®: Off the Rails™,6080,2007
Simulation,Thrillville®: Off the Rails™,6080,2007
Strategy,Thrillville®: Off the Rails™,6080,2007
Adventure,Indiana Jones® and the Fate of Atlantis™,6010,1992
Action,Armed and Dangerous®,6090,2003
Action,"Star Wars: Battlefront 2 (Classic, 2005)",6060,2005
Adventure,Indiana Jones® and the Last Crusade™,32310,1989
Action,LEGO® Indiana Jones™: The Original Adventures,32330,2008
Adventure,LEGO® Indiana Jones™: The Original Adventures,32330,2008
Adventure,The Secret of Monkey Island: Special Edition,32360,2009
Strategy,Warfare,35300,2008
Action,Clutch,35310,2009
Racing,Clutch,35310,2009
Adventure,Nancy Drew®: Ransom of the Seven Ships,31980,2009
Adventure,Nancy Drew®: Ransom of the Seven Ships Demo,31990,2009
Sports,3D Ultra™ Minigolf Adventures,10140,2006
Adventure,King's Quest™ Collection,10100,2006
Action,TimeShift™,10130,2007
Adventure,Space Quest™ Collection,10110,2006
Action,Killing Floor Outbreak Character Pack,1256,2009
Action,Aces of the Galaxy™,10120,2008
Casual,Aces of the Galaxy™,10120,2008
Simulation,Tropico Reloaded,33520,2009
Strategy,Tropico Reloaded,33520,2009
Casual,Mystery P.I. - Lost in Los Angeles,3610,2009
Action,Bionic Commando: Rearmed,21680,2008
Action,Bionic Commando,21670,2009
Adventure,Bionic Commando,21670,2009
Action,Watchmen: The End is Nigh Part 2,21030,2009
Action,Foreign Legion: Buckets of Blood,36000,2009
Indie,Foreign Legion: Buckets of Blood,36000,2009
Adventure,STAR WARS™ - Knights of the Old Republic™,32370,2003
RPG,STAR WARS™ - Knights of the Old Republic™,32370,2003
Indie,Osmos,29180,2009
Casual,Osmos,29180,2009
RPG,Fallout 2: A Post Nuclear Role Playing Game,38410,1998
Strategy,Fallout Tactics: Brotherhood of Steel,38420,2001
Action,Kingpin — Life of Crime,38430,1999
,Sacrifice,38440,2000
Action,Mini Ninjas Demo,35050,2009
Adventure,Mini Ninjas Demo,35050,2009
Adventure,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,31180,2009
Casual,Jewel Quest Pack,37960,2009
Casual,Mahjong Quest Collection,38000,2009
Adventure,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",37400,2009
Indie,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",37400,2009
Action,Tom Clancy's Splinter Cell Chaos Theory®,13570,2005
Action,Crash Time 2,11390,2009
Racing,Crash Time 2,11390,2009
Strategy,XIII Century – Gold Edition,34420,2009
Simulation,World of Zoo,43100,2009
Simulation,18 Wheels of Steel: Extreme Trucker,33730,2009
Action,Mini Ninjas,35000,2009
Adventure,Mini Ninjas,35000,2009
Casual,Freeze Tag Fun Pack #2,39392,2009
Casual,Freeze Tag Fun Pack #1,39391,1999
Adventure,Windosill,37600,2009
Casual,Windosill,37600,2009
Indie,Windosill,37600,2009
Simulation,Train Simulator: Colton & Northern Route Add-On,24029,2009
Adventure,Midnight Mysteries,32140,2009
Casual,Midnight Mysteries,32140,2009
Adventure,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,31190,2009
Action,Joint Operations: Combined Arms Gold,32770,2009
Simulation,Train Simulator: US Loco & Asset Pack,208306,2009
Simulation,DinerTown Tycoon,37300,2009
Simulation,Train Simulator: European Loco & Asset Pack,208300,2009
RPG,Risen,40300,2009
Casual,Flora's Fruit Farm,35070,2009
Strategy,Empire: Total War™ - The Warpath Campaign,10606,2009
Adventure,Machinarium,40700,2009
Indie,Machinarium,40700,2009
Action,Medal of Honor: Airborne,24840,2007
Racing,Need for Speed: Shift,24870,2009
RPG,Torchlight,41500,2009
Strategy,Command & Conquer: Red Alert 3 - Uprising,24800,2009
Strategy,The Stronghold Collection,901735,2009
Strategy,East India Company: Privateer,42800,2009
Action,Painkiller: Resurrection,39560,2009
RPG,SpellForce 2 - Anniversary Edition,39550,2009
Strategy,SpellForce 2 - Anniversary Edition,39550,2009
Adventure,Secret Files: Tunguska,40330,2009
Strategy,Rush for Berlin Gold,40320,2009
Adventure,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,31200,2009
Strategy,Men of War: Red Tide,3130,2009
Action,Hammerfight,41100,2009
Indie,Hammerfight,41100,2009
Action,SpellForce - Platinum Edition,39540,2009
RPG,SpellForce - Platinum Edition,39540,2009
Strategy,Massive Assault: Phantom Renaissance,34640,2005
Strategy,Massive Assault,34630,2003
,Nancy Drew® Dossier: Resorting to Danger!,42200,2009
Action,Serious Sam HD: The First Encounter,41000,2009
Indie,Serious Sam HD: The First Encounter,41000,2009
Adventure,Secret Files 2: Puritas Cordis,40340,2009
RPG,Dragon Age: Origins,17450,2009
Action,Aztaka,37100,2009
RPG,Aztaka,37100,2009
Indie,Aztaka,37100,2009
Indie,Magnetis,37500,2009
Casual,Magnetis,37500,2009
Strategy,For The Glory: A Europa Universalis Game,42810,2009
Action,Call of Duty®: Modern Warfare® 2,10180,2009
Adventure,LEGO® Star Wars™ - The Complete Saga,32440,2009
RPG,Overlord™,11450,2007
RPG,Overlord™: Raising Hell,12710,2008
Strategy,Command & Conquer 3: Tiberium Wars,24790,2007
Indie,Yumsters 2: Around the World,29120,2008
Casual,Yumsters 2: Around the World,29120,2008
Strategy,Command & Conquer 3: Kane's Wrath,24810,2009
Indie,Gratuitous Space Battles,41800,2009
Simulation,Gratuitous Space Battles,41800,2009
Strategy,Gratuitous Space Battles,41800,2009
Simulation,Wings of Prey,45300,2009
Action,The Bard's Tale,41900,2005
Adventure,The Bard's Tale,41900,2005
RPG,The Bard's Tale,41900,2005
Action,Defence Alliance 2,35420,2009
Action,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,32430,2009
,Europa Universalis III: Heir to the Throne,25806,2009
RPG,Fallout 3: Game of the Year Edition,22370,2009
Strategy,Gratuitous Space Battles: The Tribe,41802,2009
Indie,Gratuitous Space Battles: The Tribe,41802,2009
Simulation,Gratuitous Space Battles: The Tribe,41802,2009
Simulation,Build-A-Lot,38080,2007
Simulation,Build-A-Lot 2: Town of the Year,38090,2008
Simulation,Build-A-Lot 3: Passport to Europe,38100,2009
Casual,Coconut Queen,38070,2009
Simulation,Coconut Queen,38070,2009
Casual,Roogoo,38210,2009
Action,Devil May Cry 4,45700,2008
Adventure,Devil May Cry 4,45700,2008
Action,Avencast: Rise of the Mage,46410,2010
Indie,Avencast: Rise of the Mage,46410,2010
RPG,Avencast: Rise of the Mage,46410,2010
Simulation,Build-A-Lot 4: Power Source,38110,2009
Action,"Pirates, Vikings, and Knights II",17570,2010
Free to Play,"Pirates, Vikings, and Knights II",17570,2010
Indie,"Pirates, Vikings, and Knights II",17570,2010
Casual,Farm Frenzy 2,38130,2008
Casual,Farm Frenzy 3: American Pie,38160,2010
Casual,Farm Frenzy 3,38150,2009
Casual,Farm Frenzy,38120,2007
Casual,Farm Frenzy: Pizza Party,38140,2009
Casual,Cake Mania Main Street™,36300,2010
Strategy,Westward® IV: All Aboard,36310,2010
Casual,Westward® IV: All Aboard,36310,2010
Adventure,Iron Roses,36320,2010
Casual,Iron Roses,36320,2010
Strategy,UFO: Extraterrestrials Gold,37030,2010
Adventure,LEGO® Indiana Jones™ 2: The Adventure Continues,32450,2010
Sports,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,34180,2010
Action,Super Laser  Racer,44100,2010
Indie,Super Laser  Racer,44100,2010
