game_id,game_name
23450,Grand Ages: RomeGrand Ages: Rome
23490,Tropico 3Tropico 3
23530,Earth Defense Force: Insect Armageddon
24010,Train Simulator
24240,PAYDAY™ The Heist
24670,Trainz™ Simulator 12
24720,SPORE™ Galactic AdventuresSPORE™ Galactic Adventures
24740,Burnout Paradise: The Ultimate Box
24780,SimCity™ 4 Deluxe EditionSimCity™ 4 Deluxe Edition
24790,Command & Conquer 3: Tiberium Wars
24800,Command & Conquer: Red Alert 3 - Uprising
24810,Command & Conquer 3: Kane's Wrath
24840,Medal of Honor: Airborne
24870,Need for Speed: Shift
24960,Battlefield: Bad Company™ 2
24980,Mass Effect 2
25000,OvergrowthOvergrowth
25010,Lugaru HD
25500,Cricket RevolutionCricket RevolutionCricket Revolution
25700,Madballs in Babo:Invasion
25800,Europa Universalis III Complete
25830,Knights of Honor
25890,Hearts of Iron III
25900,King's Bounty: The LegendKing's Bounty: The Legend
25910,Supreme Ruler 2020 Gold
25980,Majesty 2Majesty 2
25990,Majesty Gold HDMajesty Gold HD
26500,CogsCogs
26800,BraidBraidBraid
26900,Crayon Physics DeluxeCrayon Physics Deluxe
27940,Dead HordeDead Horde
28000,Kane & Lynch 2: Dog Days
29180,OsmosOsmos
29800,CasterCasterCasterCasterCasterCaster
31280,Poker Night at the InventoryPoker Night at the Inventory
31290,Back to the Future: The Game
31700,Iron Grip: WarlordIron Grip: Warlord
32200,Metal DriftMetal DriftMetal DriftMetal Drift
32330,LEGO® Indiana Jones™: The Original AdventuresLEGO® Indiana Jones™: The Original Adventures
32350,STAR WARS™ Starfighter™STAR WARS™ Starfighter™
32360,The Secret of Monkey Island: Special Edition
32370,STAR WARS™ - Knights of the Old Republic™STAR WARS™ - Knights of the Old Republic™
32380,STAR WARS™ Jedi Knight: Dark Forces II
32390,STAR WARS™ Jedi Knight - Mysteries of the Sith™
32400,STAR WARS™ - Dark Forces
32420,STAR WARS™: The Clone Wars - Republic Heroes™
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
32440,LEGO® Star Wars™ - The Complete Saga
32470,STAR WARS™ Empire at War - Gold Pack
32500,STAR WARS™: The Force Unleashed™ II
32800,Lord of the Rings: War in the NorthLord of the Rings: War in the North
33210,Dawn of Discovery™Dawn of Discovery™
33230,Assassin's Creed 2 Deluxe EditionAssassin's Creed 2 Deluxe Edition
33420,Call of Juarez®: The CartelCall of Juarez®: The Cartel
33460,From DustFrom Dust
33520,Tropico ReloadedTropico Reloaded
33670,Disciples III - Renaissance Steam Special EditionDisciples III - Renaissance Steam Special Edition
33680,eversion
33730,18 Wheels of Steel: Extreme Trucker
33900,Arma 2Arma 2Arma 2
33930,Arma 2: Operation ArrowheadArma 2: Operation ArrowheadArma 2: Operation Arrowhead
34010,Alpha Protocol™Alpha Protocol™
34030,Napoleon: Total War™
34830,Sniper: Ghost Warrior
34870,Sniper: Ghost Warrior 2
34900,Bad Rats: the Rats' Revenge
35140,Batman: Arkham Asylum Game of the Year EditionBatman: Arkham Asylum Game of the Year Edition
35420,Defence Alliance 2
35450,Red Orchestra 2: Heroes of Stalingrad with Rising StormRed Orchestra 2: Heroes of Stalingrad with Rising StormRed Orchestra 2: Heroes of Stalingrad with Rising Storm
35460,The BallThe BallThe Ball
35480,Dwarfs!?Dwarfs!?Dwarfs!?
35700,Trine Enchanted EditionTrine Enchanted EditionTrine Enchanted Edition
35720,Trine 2: Complete StoryTrine 2: Complete StoryTrine 2: Complete Story
36000,Foreign Legion: Buckets of BloodForeign Legion: Buckets of Blood
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double PackTime Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
37700,Darkest of Days
38400,Fallout: A Post Nuclear Role Playing Game
38410,Fallout 2: A Post Nuclear Role Playing Game
38420,Fallout Tactics: Brotherhood of Steel
38600,Faerie SolitaireFaerie Solitaire
38700,Toki ToriToki Tori
38720,RUSHRUSHRUSH
38740,EDGEEDGE
39120,RIFTRIFTRIFT
39140,FINAL FANTASY VII
39150,FINAL FANTASY VIII
39160,Dungeon Siege IIIDungeon Siege III
39190,Dungeon Siege
39200,Dungeon Siege II
39210,FINAL FANTASY XIV OnlineFINAL FANTASY XIV Online
39500,Gothic® 3Gothic® 3
39670,Chaser
39680,The Guild II RenaissanceThe Guild II Renaissance
39690,ArcaniA
39800,Nation RedNation Red
40100,Supreme Commander 2
40380,nail'd
40390,Risen 2: Dark Waters
40400,AI War: Fleet CommandAI War: Fleet Command
40700,MachinariumMachinarium
40800,Super Meat Boy
40930,The Misadventures of P.B. WinterbottomThe Misadventures of P.B. Winterbottom
40950,Stronghold HDStronghold HD
40970,Stronghold Crusader HDStronghold Crusader HD
41000,Serious Sam HD: The First EncounterSerious Sam HD: The First Encounter
41050,Serious Sam Classic: The First EncounterSerious Sam Classic: The First Encounter
41060,Serious Sam Classic: The Second EncounterSerious Sam Classic: The Second Encounter
41100,HammerfightHammerfight
41300,AltitudeAltitudeAltitude
41500,Torchlight
41700,S.T.A.L.K.E.R.: Call of PripyatS.T.A.L.K.E.R.: Call of Pripyat
41740,Cargo! The Quest for GravityCargo! The Quest for GravityCargo! The Quest for Gravity
41800,Gratuitous Space BattlesGratuitous Space BattlesGratuitous Space Battles
42120,Lead and Gold: Gangs of the Wild West
42140,Hamilton's Great AdventureHamilton's Great AdventureHamilton's Great Adventure
42170,KraterKraterKraterKraterKrater
42700,Call of Duty®: Black Ops
42890,Sword of the Stars: Complete Collection
42910,MagickaMagicka
42920,The Kings' Crusade
42960,Victoria II
42990,Sword of the Stars II: Enhanced Edition
43000,Front Mission Evolved
44200,Galcon FusionGalcon Fusion
44340,Operation Flashpoint: Red RiverOperation Flashpoint: Red River
44350,GRID 2GRID 2
45000,Sol SurvivorSol Survivor
45100,Secret of the Magic CrystalsSecret of the Magic Crystals
45300,Wings of Prey
45400,Fortix
45700,Devil May Cry 4Devil May Cry 4
45740,Dead Rising® 2Dead Rising® 2
45750,Lost Planet® 2Lost Planet® 2
45760,Ultra Street Fighter® IV
45770,Dead Rising 2: Off the RecordDead Rising 2: Off the Record
46260,Star Wolves 3: Civil WarStar Wolves 3: Civil War
46540,Trapped DeadTrapped Dead
46770,Making History II: The War of the WorldMaking History II: The War of the WorldMaking History II: The War of the World
47400,Stronghold 3 GoldStronghold 3 Gold
47410,Stronghold KingdomsStronghold KingdomsStronghold Kingdoms
47700,Command & Conquer 4: Tiberian Twilight
47780,Dead Space™ 2
47790,Medal of Honor™
47800,RISK™: Factions
47810,Dragon Age: Origins - Ultimate Edition
47870,Need For Speed: Hot Pursuit
47890,The Sims™ 3
47920,Shift 2 Unleashed
48000,LIMBOLIMBO
48110,Silent Hunter 5®: Battle of the Atlantic
48190,Assassin’s Creed® BrotherhoodAssassin’s Creed® Brotherhood
48220,Might & Magic: Heroes VIMight & Magic: Heroes VI
48700,Mount & Blade: WarbandMount & Blade: Warband
48720,Mount & Blade: With Fire & SwordMount & Blade: With Fire & Sword
48800,Ship Simulator Extremes
48950,Greed Corp
49470,Magic: The Gathering - Duels of the Planeswalkers 2012
49520,Borderlands 2Borderlands 2
49600,Beat HazardBeat HazardBeat Hazard
49800,Flight of the IcarusFlight of the Icarus
50130,Mafia II
50300,Spec Ops: The LineSpec Ops: The Line
50620,Darksiders™Darksiders™
51100,Tactical InterventionTactical Intervention
55040,Atom Zombie SmasherAtom Zombie Smasher
55100,Homefront
55110,Red Faction®: Armageddon™
55140,MX vs. ATV Reflex
55150,"Warhammer 40,000: Space Marine"
55230,Saints Row: The Third
55370,Saints Row: The Third Initiation Station
57300,Amnesia: The Dark DescentAmnesia: The Dark DescentAmnesia: The Dark Descent
57600,Tropico 3: Absolute PowerTropico 3: Absolute Power
57640,Broken Sword: Director's Cut
57690,Tropico 4Tropico 4
57740,Jagged Alliance - Back in ActionJagged Alliance - Back in ActionJagged Alliance - Back in Action
57900,Duke Nukem Forever
58200,Jolly RoverJolly RoverJolly Rover
58230,MacGuffin's CurseMacGuffin's CurseMacGuffin's Curse
58520,Blood Bowl® Legendary EditionBlood Bowl® Legendary Edition
58610,Wargame: European Escalation
60800,Numen: Contest of Heroes
61100,LucidLucid
61310,Fractal: Make Blooms Not WarFractal: Make Blooms Not War
61500,Age of WondersAge of Wonders
61600,Zen Bound 2Zen Bound 2
62000,Flight Control HDFlight Control HD
62100,Chime
63200,Monday Night CombatMonday Night CombatMonday Night CombatMonday Night Combat
63380,Sniper Elite V2
63500,Swords and Soldiers HDSwords and Soldiers HDSwords and Soldiers HDSwords and Soldiers HD
63610,Riven: The Sequel to MYSTRiven: The Sequel to MYST
63700,BIT.TRIP BEATBIT.TRIP BEATBIT.TRIP BEAT
63710,BIT.TRIP RUNNERBIT.TRIP RUNNER
63800,Delve DeeperDelve DeeperDelve DeeperDelve Deeper
63900,Fantasy Wars
63940,Men of War: Vietnam
64000,Men of War: Assault Squad
65300,Dustforce DXDustforce DX
65560,Painkiller Redemption
65730,Take On Helicopters
65740,Carrier Command: Gaea MissionCarrier Command: Gaea Mission
65780,ARMA: Gold EditionARMA: Gold EditionARMA: Gold Edition
65790,ARMA: Cold War AssaultARMA: Cold War AssaultARMA: Cold War Assault
65800,Dungeon DefendersDungeon DefendersDungeon DefendersDungeon Defenders
65930,The Bureau: XCOM Declassified
65980,Sid Meier's Civilization®: Beyond Earth™
67370,The Darkness II
70000,Dino D-DayDino D-Day
70100,Hacker Evolution
70300,VVVVVVVVVVVV
70400,Recettear: An Item Shop's TaleRecettear: An Item Shop's Tale
70600,Worms Ultimate Mayhem
70620,Worms Crazy GolfWorms Crazy Golf
71000,Evochron MercenaryEvochron MercenaryEvochron Mercenary
71230,Crazy TaxiCrazy Taxi
71340,Sonic Generations Collection
72000,Closure
72200,Universe SandboxUniverse SandboxUniverse Sandbox
72900,Winter VoicesWinter VoicesWinter Voices
73010,Cities in Motion
73020,Majesty 2 Collection
73170,Darkest Hour: A Hearts of Iron Game
73210,SengokuSengokuSengoku
73220,Supreme Ruler: Cold War
78000,Bejeweled® 3Bejeweled® 3
80000,APOXAPOXAPOX
80310,Gemini RueGemini Rue
91200,Anomaly: Warzone EarthAnomaly: Warzone EarthAnomaly: Warzone Earth
91330,Iron Front: Digital War EditionIron Front: Digital War EditionIron Front: Digital War Edition
91600,SanctumSanctumSanctumSanctum
91700,E.Y.E: Divine CybermancyE.Y.E: Divine CybermancyE.Y.E: Divine Cybermancy
91900,Post Apocalyptic MayhemPost Apocalyptic Mayhem
92000,Hydrophobia: ProphecyHydrophobia: ProphecyHydrophobia: ProphecyHydrophobia: Prophecy
92100,DETOURDETOUR
92300,A.R.E.S.: Extinction AgendaA.R.E.S.: Extinction Agenda
92800,SpaceChemSpaceChem
93200,Revenge of the TitansRevenge of the TitansRevenge of the Titans
94200,JamestownJamestown
94300,The Dream Machine: Chapter 1 & 2The Dream Machine: Chapter 1 & 2The Dream Machine: Chapter 1 & 2
94400,NidhoggNidhoggNidhogg
94590,Puzzle Agent 2Puzzle Agent 2
95300,CapsizedCapsized
95400,ibb & obbibb & obbibb & obb
96000,The Tiny Bang StoryThe Tiny Bang StoryThe Tiny Bang Story
96100,Defy Gravity ExtendedDefy Gravity ExtendedDefy Gravity Extended
96200,Steel Storm: Burning RetributionSteel Storm: Burning Retribution
96800,Nexuiz
97000,Solar 2Solar 2
97100,Section 8®: Prejudice™
97330,Magic: The Gathering - Duels of the Planeswalkers 2013
98200,Frozen SynapseFrozen Synapse
98300,Toy SoldiersToy SoldiersToy SoldiersToy Soldiers
98400,Hard Reset Extended EditionHard Reset Extended Edition
98600,Demolition Inc.Demolition Inc.Demolition Inc.Demolition Inc.Demolition Inc.
98800,Dungeons of DredmorDungeons of DredmorDungeons of Dredmor
99100,Dungeons and Dragons: DaggerdaleDungeons and Dragons: Daggerdale
99300,Renegade Ops
99700,NightSkyNightSkyNightSky
99900,Spiral KnightsSpiral KnightsSpiral KnightsSpiral KnightsSpiral KnightsSpiral Knights
99910,Puzzle PiratesPuzzle PiratesPuzzle PiratesPuzzle PiratesPuzzle Pirates
102500,Kingdoms of Amalur: Reckoning™Kingdoms of Amalur: Reckoning™
102600,Orcs Must Die!Orcs Must Die!Orcs Must Die!
102700,A.V.A. Alliance of Valiant Arms™A.V.A. Alliance of Valiant Arms™
102840,Shank 2Shank 2Shank 2
102850,WarpWarpWarp
104000,iBomber DefenseiBomber Defense
104200,BEEPBEEP
104700,Super MNCSuper MNCSuper MNCSuper MNCSuper MNC
104900,ORION: PreludeORION: PreludeORION: PreludeORION: Prelude
105000,A New Beginning - Final CutA New Beginning - Final Cut
105300,Critical MassCritical Mass
105420,Ms. Splosion ManMs. Splosion Man
105450,Age of Empires® III: Complete CollectionAge of Empires® III: Complete Collection
105600,TerrariaTerrariaTerrariaTerraria
105800,PixelJunk™ EdenPixelJunk™ EdenPixelJunk™ Eden
107100,BastionBastionBastion
107200,Space Pirates and ZombiesSpace Pirates and ZombiesSpace Pirates and ZombiesSpace Pirates and Zombies
107300,Breath of Death VIIBreath of Death VII
107310,Cthulhu Saves the WorldCthulhu Saves the World
107410,Arma 3Arma 3Arma 3
107800,RochardRochardRochard
108200,Ticket to RideTicket to RideTicket to Ride
108500,VesselVesselVessel
108600,Project ZomboidProject ZomboidProject Zomboid
108710,Alan WakeAlan Wake
108800,Crysis 2 - Maximum Edition
109600,NeverwinterNeverwinterNeverwinterNeverwinterNeverwinter
110400,inMomentuminMomentum
110800,L.A. NoireL.A. Noire
111100,Snuggle TruckSnuggle TruckSnuggle Truck
111400,Bunch of HeroesBunch of Heroes
111600,Serious Sam Double D XXLSerious Sam Double D XXL
111800,Blocks That MatterBlocks That Matter
111900,Guardians of Middle-earthGuardians of Middle-earth
113020,Monaco: What's Yours Is MineMonaco: What's Yours Is MineMonaco: What's Yours Is MineMonaco: What's Yours Is MineMonaco: What's Yours Is Mine
113200,The Binding of IsaacThe Binding of IsaacThe Binding of IsaacThe Binding of Isaac
113400,APB ReloadedAPB ReloadedAPB Reloaded
113420,Fallen Earth Free2PlayFallen Earth Free2PlayFallen Earth Free2Play
115100,Costume QuestCostume QuestCostume Quest
115110,StackingStacking
115320,Prototype 2Prototype 2
200010,Quantum ConundrumQuantum Conundrum
200050,Naval War: Arctic Circle
200170,Worms Revolution
200210,Realm of the Mad GodRealm of the Mad GodRealm of the Mad GodRealm of the Mad GodRealm of the Mad God
200230,Off-Road DriveOff-Road Drive
200260,Batman: Arkham City - Game of the Year EditionBatman: Arkham City - Game of the Year Edition
200510,XCOM: Enemy Unknown
200710,Torchlight IITorchlight IITorchlight IITorchlight II
200910,Before the EchoBefore the Echo
201210,Pox NoraPox NoraPox Nora
201230,EverQuest® II Free-To-Play. Your Way.™EverQuest® II Free-To-Play. Your Way.™EverQuest® II Free-To-Play. Your Way.™
201310,X3: Albion PreludeX3: Albion Prelude
201420,Toki Tori 2+Toki Tori 2+Toki Tori 2+
201480,Serious Sam: The Random EncounterSerious Sam: The Random EncounterSerious Sam: The Random Encounter
201510,Flatout 3: Chaos & Destruction
201570,Really Big SkyReally Big Sky
201790,Orcs Must Die! 2Orcs Must Die! 2Orcs Must Die! 2
201810,Wolfenstein: The New Order
202130,Impire
202170,Sleeping DogsSleeping Dogs
202200,Galactic Civilizations® II: Ultimate Edition
202310,Ridge Racer™ Unbounded
202750,Alan Wake's American NightmareAlan Wake's American Nightmare
202970,Call of Duty®: Black Ops II
203140,Hitman: Absolution™
203160,Tomb RaiderTomb Raider
203210,Titan Attacks!Titan Attacks!Titan Attacks!
203290,America's Army: Proving GroundsAmerica's Army: Proving Grounds
203350,King's Bounty: Warriors of the NorthKing's Bounty: Warriors of the North
203630,Warlock - Master of the Arcane
203650,Sonic the Hedgehog 4 - Episode II
203750,Binary Domain
203770,Crusader Kings IICrusader Kings IICrusader Kings II
203830,The Dark Eye: Chains of SatinavThe Dark Eye: Chains of Satinav
204030,Fable - The Lost ChaptersFable - The Lost ChaptersFable - The Lost Chapters
204060,Superbrothers: Sword & Sworcery EPSuperbrothers: Sword & Sworcery EP
204080,The Showdown Effect
204100,Max Payne 3
204180,WaveformWaveformWaveform
204240,The BridgeThe BridgeThe Bridge
204300,Awesomenauts - the 2D mobaAwesomenauts - the 2D mobaAwesomenauts - the 2D mobaAwesomenauts - the 2D moba
204340,Serious Sam 2Serious Sam 2
204360,Castle Crashers®Castle Crashers®Castle Crashers®Castle Crashers®Castle Crashers®
204450,Call of Juarez® Gunslinger
204530,Infested PlanetInfested PlanetInfested Planet
204630,Retro City Rampage™ DXRetro City Rampage™ DXRetro City Rampage™ DXRetro City Rampage™ DX
204880,Sins of a Solar Empire®: RebellionSins of a Solar Empire®: Rebellion
205060,BIT.TRIP COREBIT.TRIP CORE
205080,BIT.TRIP FATEBIT.TRIP FATE
205100,DishonoredDishonored
205190,Rocksmith™Rocksmith™
205230,Hell Yeah! Wrath of the Dead Rabbit
205550,Foreign Legion: Multi MassacreForeign Legion: Multi MassacreForeign Legion: Multi Massacre
205610,Port Royale 3Port Royale 3Port Royale 3
205650,The Testament of Sherlock Holmes
205710,Everquest ®Everquest ®Everquest ®
205730,Insanely Twisted Shadow PlanetInsanely Twisted Shadow PlanetInsanely Twisted Shadow Planet
205870,AuditoriumAuditorium
205890,Chronicle: RuneScape LegendsChronicle: RuneScape LegendsChronicle: RuneScape Legends
205910,Tiny and Big: Grandpa's Leftovers
205950,Jet Set Radio
205990,Warlock 2: The Exiled
206190,GunpointGunpointGunpoint
206210,Gotham City Impostors Free to PlayGotham City Impostors Free to Play
206420,Saints Row IVSaints Row IV
206440,To the MoonTo the MoonTo the Moon
206480,Dungeons & Dragons Online®Dungeons & Dragons Online®Dungeons & Dragons Online®Dungeons & Dragons Online®Dungeons & Dragons Online®
