Id_hecho,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
2016-0050,1,2016-04-19,09:50:00,AVENIDA,8,-58.47305463,-34.68550712,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0051,1,2016-04-20,04:00:00,AVENIDA,4,-58.40623949,-34.65076549,MOTO - CARGAS,MOTO,CARGAS
2016-0052,1,2016-04-20,20:00:00,AUTOPISTA,13,SIN DATO,SIN DATO,MOTO - SIN DATO,MOTO,SIN DATO
2016-0053,1,2016-04-22,09:30:00,AVENIDA,12,-58.48429180,-34.57558053,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0054,1,2016-04-23,21:00:00,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO - MOTO,MOTO,MOTO
2016-0055,1,2016-04-25,20:30:00,AVENIDA,14,-58.40021959,-34.57964781,PEATON - CARGAS,PEATON,CARGAS
2016-0056,1,2016-04-26,04:45:00,AVENIDA,14,-58.42957885,-34.57660058,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2016-0058,1,2016-05-04,14:00:00,CALLE,1,-58.38247542,-34.62556293,PEATON - MOTO,PEATON,MOTO
2016-0059,1,2016-05-08,16:30:00,CALLE,1,-58.38222219,-34.62728101,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0064,1,2016-05-14,18:11:00,AVENIDA,10,-58.49485242,-34.62953445,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0065,1,2016-05-20,14:40:00,AVENIDA,6,-58.45227946,-34.61068024,PEATON - AUTO,PEATON,AUTO
2016-0067,1,2016-05-21,17:00:00,AVENIDA,8,-58.48455411,-34.67512760,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0068,1,2016-05-22,22:00:00,AVENIDA,2,-58.39056593,-34.58418569,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0069,1,2016-05-23,03:30:00,AVENIDA,3,-58.39118948,-34.62704273,AUTO - CARGAS,AUTO,CARGAS
2016-0073,1,2016-06-11,15:00:00,CALLE,10,-58.49021952,-34.62025108,MOTO - CARGAS,MOTO,CARGAS
2016-0074,1,2016-06-12,06:40:00,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO - AUTO,AUTO,AUTO
2016-0075,1,2016-06-12,23:13:00,AUTOPISTA,8,-58.47461076,-34.66874679,PEATON - AUTO,PEATON,AUTO
2016-0076,1,2016-06-13,16:20:00,AVENIDA,15,-58.46210891,-34.60356211,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0077,1,2016-06-13,21:52:00,AVENIDA,1,-58.37027770,-34.60536123,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0078,1,2016-06-13,23:01:00,AVENIDA,3,-58.40491455,-34.61463830,MOTO - MOTO,MOTO,MOTO
2016-0079,1,2016-06-16,17:13:00,AVENIDA,13,-58.45504154,-34.54864492,AUTO - AUTO,AUTO,AUTO
2016-0080,1,2016-06-18,06:42:00,GRAL PAZ,9,-58.52927982,-34.63931752,AUTO - SIN DATO,AUTO,SIN DATO
2016-0081,1,2016-06-22,07:42:00,AVENIDA,12,-58.48721060,-34.55904606,MOTO - AUTO,MOTO,AUTO
2016-0082,1,2016-06-27,18:24:00,AVENIDA,4,-58.42273092,-34.64228803,PEATON - AUTO,PEATON,AUTO
2016-0083,1,2016-06-28,20:46:00,AVENIDA,6,-58.44788671,-34.62539009,PEATON - MOTO,PEATON,MOTO
2016-0084,1,2016-06-29,22:00:00,CALLE,1,-58.38110563,-34.60135531,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0085,1,2016-06-29,22:00:00,AVENIDA,4,-58.42378834,-34.65734100,MOTO - OTRO,MOTO,OTRO
2016-0086,1,2016-06-30,16:10:00,AVENIDA,10,-58.48727942,-34.63652467,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0087,1,2016-07-02,00:10:00,AUTOPISTA,1,-58.37864583,-34.62907067,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2016-0088,1,2016-07-11,15:30:00,CALLE,12,-58.50151750,-34.56767549,PEATON - AUTO,PEATON,AUTO
2016-0089,1,2016-07-14,06:40:00,AUTOPISTA,13,-58.43233425,-34.55185825,PEATON - AUTO,PEATON,AUTO
2016-0090,1,2016-07-14,22:00:00,AVENIDA,5,-58.41971993,-34.61112240,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0092,1,2016-07-15,11:00:00,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO - CARGAS,MOTO,CARGAS
2016-0093,1,2016-07-17,03:30:00,AVENIDA,6,-58.44362126,-34.62301748,AUTO - AUTO,AUTO,AUTO
2016-0095,1,2016-07-23,06:12:00,AVENIDA,11,-58.51713095,-34.59546519,MOTO - AUTO,MOTO,AUTO
2016-0096,1,2016-07-25,07:00:00,AUTOPISTA,8,-58.47433193007387,-34.66684950051973,MOTO - CARGAS,MOTO,CARGAS
2016-0097,1,2016-07-26,18:45:00,CALLE,1,-58.39038605,-34.61562810,PEATON - AUTO,PEATON,AUTO
2016-0098,1,2016-07-27,16:08:00,AVENIDA,3,-58.40042405,-34.62356174,MOTO - CARGAS,MOTO,CARGAS
2016-0099,1,2016-07-29,16:00:00,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS - CARGAS,CARGAS,CARGAS
2016-0100,1,2016-08-03,23:27:00,GRAL PAZ,12,-58.49491054,-34.54795581,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2016-0101,1,2016-08-07,19:42:00,GRAL PAZ,9,-58.52932872,-34.65014993,SIN DATO - SIN DATO,SIN DATO,SIN DATO
2016-0102,1,2016-08-10,23:37:00,AVENIDA,9,-58.50011639,-34.67316502,MOTO - CARGAS,MOTO,CARGAS
2016-0104,1,2016-08-14,21:15:00,AVENIDA,9,-58.46635001,-34.65624369,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0105,1,2016-08-17,00:05:00,AVENIDA,15,-58.45343236,-34.58435809,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0106,1,2016-08-19,21:02:00,AVENIDA,1,-58.38090932,-34.58927731,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0107,1,2016-08-20,08:22:00,AUTOPISTA,4,-58.37157668,-34.65429986,MOTO - AUTO,MOTO,AUTO
2016-0109,1,2016-08-24,05:45:00,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO - OBJETO FIJO,AUTO,OBJETO FIJO
2016-0110,1,2016-08-24,20:21:00,AVENIDA,9,-58.51232237,-34.65903530,PEATON - SIN DATO,PEATON,SIN DATO
2016-0111,1,2016-08-25,09:30:00,AUTOPISTA,15,-58.47461905,-34.57663634,MOTO - CARGAS,MOTO,CARGAS
2016-0112,1,2016-08-27,04:40:00,AUTOPISTA,1,-58.38268809,-34.62282019,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2016-0113,1,2016-08-27,16:45:00,AVENIDA,9,-58.49603546,-34.64564271,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0114,1,2016-08-31,11:20:00,CALLE,14,-58.41848605,-34.59394733,BICICLETA - CARGAS,BICICLETA,CARGAS
2016-0115,1,2016-09-02,11:50:00,CALLE,12,-58.48935041,-34.54917673,SIN DATO - CARGAS,SIN DATO,CARGAS
2016-0116,1,2016-09-02,20:20:00,AVENIDA,8,-58.44451316,-34.68475866,MOTO - AUTO,MOTO,AUTO
2016-0117,1,2016-09-03,15:30:00,AVENIDA,14,-58.39936478,-34.58271474,AUTO - AUTO,AUTO,AUTO
2016-0118,1,2016-09-04,03:30:00,AUTOPISTA,1,-58.37936704,-34.62694503,AUTO - AUTO,AUTO,AUTO
2016-0119,1,2016-09-04,06:40:00,AVENIDA,12,-58.49659234,-34.56353635,SIN DATO - SIN DATO,SIN DATO,SIN DATO
2016-0122,1,2016-09-13,07:10:00,AVENIDA,9,-58.47256391,-34.65194557,BICICLETA - PASAJEROS,BICICLETA,PASAJEROS
2016-0123,1,2016-09-14,09:00:00,AVENIDA,7,-58.45130953,-34.64053676,MOTO - AUTO,MOTO,AUTO
2016-0124,1,2016-09-16,15:24:00,AVENIDA,7,-58.46271207,-34.62884871,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0125,1,2016-09-17,12:14:00,AUTOPISTA,10,-58.49020869,-34.64243791,MOTO - MOTO,MOTO,MOTO
2016-0126,2,2016-09-18,22:45:00,CALLE,10,-58.52572109,-34.62125906,AUTO - CARGAS,AUTO,CARGAS
2016-0127,1,2016-09-24,10:25:00,AVENIDA,8,-58.44094791,-34.66677111,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0128,1,2016-10-02,11:30:00,AVENIDA,5,-58.41914024,-34.63053890,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0130,1,2016-10-04,12:30:00,AUTOPISTA,1,-58.37910942,-34.62764717,MOTO - CARGAS,MOTO,CARGAS
2016-0131,1,2016-10-09,19:13:00,CALLE,4,-58.39871183,-34.64539318,PEATON - AUTO,PEATON,AUTO
2016-0132,1,2016-10-10,02:30:00,AVENIDA,3,-58.41036975,-34.62477021,AUTO - PASAJEROS,AUTO,PASAJEROS
2016-0133,1,2016-10-14,00:05:00,AVENIDA,14,-58.40204698,-34.58342690,MOTO - AUTO,MOTO,AUTO
2016-0134,1,2016-10-23,05:00:00,AVENIDA,8,-58.48935287,-34.67648597,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2016-0135,1,2016-10-24,05:00:00,AVENIDA,14,-58.42260225,-34.56403694,PEATON - SIN DATO,PEATON,SIN DATO
2016-0136,1,2016-10-25,00:00:00,AUTOPISTA,4,SIN DATO,SIN DATO,MOTO - CARGAS,MOTO,CARGAS
2016-0137,1,2016-10-25,00:39:00,AVENIDA,11,-58.51537091,-34.59035925,MOTO - MOTO,MOTO,MOTO
2016-0138,1,2016-10-27,20:30:00,AVENIDA,13,-58.45909670,-34.55922742,BICICLETA - CARGAS,BICICLETA,CARGAS
2016-0139,1,2016-10-28,23:00:00,AVENIDA,14,-58.42008769,-34.56539579,MOTO - MOTO,MOTO,MOTO
2016-0140,1,2016-10-31,02:58:00,AVENIDA,13,-58.45566399,-34.56147293,PASAJEROS - PASAJEROS,PASAJEROS,PASAJEROS
2016-0142,1,2016-11-05,23:30:00,AVENIDA,1,-58.37533517,-34.59276462,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0143,1,2016-11-06,04:41:00,AVENIDA,8,-58.44451316,-34.68475866,MOTO - SIN DATO,MOTO,SIN DATO
2016-0144,1,2016-11-07,12:10:00,AVENIDA,4,-58.35975012,-34.63343907,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0145,1,2016-11-07,20:56:00,AVENIDA,13,-58.44523595,-34.55953855,MOTO - AUTO,MOTO,AUTO
2016-0146,1,2016-11-09,20:00:00,AVENIDA,4,-58.39626094,-34.63036565,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0147,1,2016-11-16,21:15:00,AVENIDA,1,-58.38896772,-34.61799615,MOVIL - PASAJEROS,MOVIL,PASAJEROS
2016-0148,1,2016-11-16,22:20:00,AVENIDA,15,-58.46536113,-34.59484504,MOTO - MOTO,MOTO,MOTO
2016-0150,1,2016-11-18,18:20:00,AVENIDA,4,-58.40879146,-34.65273216,CARGAS - CARGAS,CARGAS,CARGAS
2016-0151,1,2016-11-18,20:35:00,CALLE,1,SIN DATO,SIN DATO,PEATON - SIN DATO,PEATON,SIN DATO
2016-0152,1,2016-11-23,21:10:00,AVENIDA,7,-58.46451841,-34.64991946,MOTO - AUTO,MOTO,AUTO
2016-0153,1,2016-11-25,15:42:00,AVENIDA,15,-58.42917090,-34.59485488,PEATON - MOTO,PEATON,MOTO
2016-0154,1,2016-11-26,14:14:00,GRAL PAZ,8,-58.49007772,-34.68251141,MOTO - MOTO,MOTO,MOTO
2016-0155,1,2016-11-26,16:50:00,CALLE,10,-58.52756365,-34.62772274,PEATON - AUTO,PEATON,AUTO
2016-0156,1,2016-11-26,19:40:00,AVENIDA,3,-58.40638983,-34.61943202,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0157,1,2016-12-03,06:40:00,AVENIDA,11,-58.47576807,-34.61740997,MOTO - MOTO,MOTO,MOTO
2016-0159,1,2016-12-04,07:21:00,AVENIDA,8,-58.44451316,-34.68475866,AUTO - SIN DATO,AUTO,SIN DATO
2016-0160,1,2016-12-06,05:30:00,AUTOPISTA,9,-58.51927194,-34.63635787,CARGAS - OBJETO FIJO,CARGAS,OBJETO FIJO
2016-0161,1,2016-12-06,07:22:00,AVENIDA,14,-58.42525456,-34.57866344,PEATON - PASAJEROS,PEATON,PASAJEROS
2016-0162,1,2016-12-07,05:00:00,AVENIDA,15,-58.45396573,-34.58518167,PEATON - AUTO,PEATON,AUTO
2016-0163,1,2016-12-10,07:30:00,GRAL PAZ,11,-58.52340614,-34.59798754,MOTO - AUTO,MOTO,AUTO
2016-0164,1,2016-12-11,06:16:00,AVENIDA,4,-58.42323628,-34.64119105,AUTO - AUTO,AUTO,AUTO
2016-0165,1,2016-12-12,08:25:00,AVENIDA,4,-58.36926144,-34.62841919,BICICLETA - PASAJEROS,BICICLETA,PASAJEROS
2016-0168,1,2016-12-13,10:40:00,AVENIDA,4,-58.42323628,-34.64119105,MOTO - AUTO,MOTO,AUTO
2016-0169,1,2016-12-15,15:30:00,AVENIDA,12,-58.47935434,-34.55676497,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0170,1,2016-12-19,17:10:00,GRAL PAZ,12,-58.50598256,-34.56379980,MOTO - AUTO,MOTO,AUTO
2016-0171,1,2016-12-25,19:00:00,AUTOPISTA,1,-58.36607137,-34.62150748,MOTO - MOTO,MOTO,MOTO
2016-0172,1,2016-12-26,08:00:00,AVENIDA,5,-58.41918902,-34.63174259,MOTO - CARGAS,MOTO,CARGAS
2016-0173,1,2016-12-26,19:52:00,AVENIDA,7,-58.46749188,-34.63551751,MOTO - CARGAS,MOTO,CARGAS
2016-0174,1,2016-12-27,00:00:00,AUTOPISTA,1,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO,SIN DATO
2016-0175,1,2016-12-27,08:15:00,CALLE,7,-58.46064174,-34.62960517,PEATON - BICICLETA,PEATON,BICICLETA
2016-0176,1,2016-12-28,01:41:00,AVENIDA,1,-58.36956186,-34.61232875,MOTO - PASAJEROS,MOTO,PASAJEROS
2016-0177,1,2016-12-29,04:00:00,CALLE,14,-58.40966671,-34.58788235,PEATON - AUTO,PEATON,AUTO
2016-0178,1,2016-12-30,16:18:00,CALLE,3,-58.40288226,-34.61544091,PEATON - MULTIPLE,PEATON,MULTIPLE
2017-0001,1,2017-01-02,01:00:00,AVENIDA,11,-58.46594230,-34.61028571,MOTO - CARGAS,MOTO,CARGAS
2017-0003,1,2017-01-05,03:10:00,AVENIDA,4,-58.38957669,-34.64410277,CARGAS - CARGAS,CARGAS,CARGAS
2017-0007,1,2017-01-11,17:00:00,CALLE,1,-58.38161660,-34.61529543,PEATON - MULTIPLE,PEATON,MULTIPLE
2017-0008,1,2017-01-16,00:40:00,CALLE,14,-58.43917004,-34.58494351,MOTO - PASAJEROS,MOTO,PASAJEROS
2017-0009,1,2017-01-16,13:56:00,AUTOPISTA,5,-58.41595919,-34.62743346,MOTO - CARGAS,MOTO,CARGAS
2017-0010,1,2017-01-16,16:30:00,AVENIDA,6,-58.43564880,-34.62828656,MOTO - AUTO,MOTO,AUTO
2017-0011,1,2017-01-22,02:30:00,GRAL PAZ,12,-58.50073810,-34.54979510,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2017-0012,1,2017-01-24,14:00:00,CALLE,4,-58.40969005,-34.65055290,MOTO - CARGAS,MOTO,CARGAS
2017-0013,1,2017-01-27,07:00:00,AVENIDA,4,-58.38972622,-34.65098981,PEATON - CARGAS,PEATON,CARGAS
2017-0014,1,2017-01-28,08:27:34,AVENIDA,12,-58.49185972,-34.55046754,MOTO - MULTIPLE,MOTO,MULTIPLE
2017-0015,1,2017-02-02,15:18:03,AVENIDA,2,-58.39293417,-34.59963642,PEATON - AUTO,PEATON,AUTO
2017-0016,1,2017-02-03,05:12:21,AUTOPISTA,1,-58.38099494,-34.62288231,MOTO - CARGAS,MOTO,CARGAS
2017-0017,1,2017-02-06,08:00:00,AVENIDA,14,-58.42901200,-34.58095431,MOTO - AUTO,MOTO,AUTO
2017-0018,1,2017-02-09,07:00:00,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO - AUTO,MOTO,AUTO
2017-0021,1,2017-02-18,05:30:00,CALLE,1,-58.38362373,-34.60509972,MOTO - PASAJEROS,MOTO,PASAJEROS
2017-0024,1,2017-02-23,20:50:00,AVENIDA,7,-58.46589308,-34.62955795,PEATON - PASAJEROS,PEATON,PASAJEROS
2017-0025,1,2017-02-24,17:05:00,AVENIDA,7,-58.43614426,-34.65424640,MOTO - SIN DATO,MOTO,SIN DATO
2017-0026,2,2017-02-26,05:15:00,AVENIDA,4,-58.41842777,-34.64979057,AUTO - OBJETO FIJO,AUTO,OBJETO FIJO
2017-0027,1,2017-02-26,21:57:00,AVENIDA,1,-58.38332245,-34.63193250,PEATON - AUTO,PEATON,AUTO
2017-0028,1,2017-02-28,09:20:00,AVENIDA,6,-58.45475488,-34.61196327,PEATON - AUTO,PEATON,AUTO
2017-0029,1,2017-03-07,02:15:00,CALLE,9,-58.48501341,-34.64742455,SIN DATO - AUTO,SIN DATO,AUTO
2017-0030,1,2017-03-07,08:00:00,AVENIDA,9,-58.47010988,-34.65872088,AUTO - PASAJEROS,AUTO,PASAJEROS
2017-0031,1,2017-03-11,01:30:00,CALLE,3,-58.40997560,-34.62873635,AUTO - OBJETO FIJO,AUTO,OBJETO FIJO
2017-0032,1,2017-03-12,05:00:00,GRAL PAZ,8,-58.48892175,-34.68359163,AUTO - AUTO,AUTO,AUTO
2017-0033,1,2017-03-12,07:30:00,GRAL PAZ,11,-58.52466448,-34.60325478,AUTO - AUTO,AUTO,AUTO
2017-0034,1,2017-03-13,07:50:00,CALLE,14,-58.42554218,-34.57929036,PEATON - AUTO,PEATON,AUTO
2017-0035,3,2017-03-23,05:00:00,AVENIDA,1,-58.35881506,-34.61113641,AUTO - OBJETO FIJO,AUTO,OBJETO FIJO
2017-0036,2,2017-03-29,18:00:00,GRAL PAZ,12,-58.51452347,-34.58159762,MOTO - PASAJEROS,MOTO,PASAJEROS
2017-0037,1,2017-03-31,03:00:00,AVENIDA,1,-58.38896772,-34.61799615,MOTO - CARGAS,MOTO,CARGAS
2017-0038,1,2017-04-01,19:00:00,AVENIDA,7,-58.44516857,-34.64363363,MOTO - AUTO,MOTO,AUTO
2017-0040,1,2017-04-03,09:40:00,AVENIDA,13,-58.43834197,-34.54560369,AUTO - MULTIPLE,AUTO,MULTIPLE
2017-0041,1,2017-04-03,23:15:00,CALLE,7,-58.45485084,-34.63531854,MOTO - AUTO,MOTO,AUTO
2017-0042,1,2017-04-10,09:00:00,GRAL PAZ,14,SIN DATO,SIN DATO,MOTO - CARGAS,MOTO,CARGAS
2017-0045,1,2017-04-14,06:15:00,CALLE,10,-58.52449285,-34.62454175,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2017-0047,1,2017-04-23,06:30:00,AVENIDA,8,-58.46713742,-34.67198790,MOTO - AUTO,MOTO,AUTO
2017-0049,1,2017-04-27,18:16:00,AVENIDA,8,-58.43850413,-34.65554754,PEATON - PASAJEROS,PEATON,PASAJEROS
2017-0050,2,2017-04-28,11:08:08,AUTOPISTA,9,SIN DATO,SIN DATO,MOTO - CARGAS,MOTO,CARGAS
2017-0051,1,2017-05-01,03:47:47,AUTOPISTA,7,SIN DATO,SIN DATO,AUTO - AUTO,AUTO,AUTO
2017-0052,1,2017-05-05,03:40:00,GRAL PAZ,8,-58.49413799,-34.68095739,PEATON - CARGAS,PEATON,CARGAS
2017-0053,1,2017-05-05,20:16:22,CALLE,4,-58.37547846,-34.65326075,MOTO - CARGAS,MOTO,CARGAS
2017-0054,1,2017-05-07,21:00:00,AVENIDA,15,-58.48680218,-34.58689719,MOTO - AUTO,MOTO,AUTO
2017-0055,1,2017-05-09,08:30:00,AVENIDA,12,-58.49563989,-34.57962262,AUTO - AUTO,AUTO,AUTO
2017-0058,1,2017-05-09,23:10:00,AVENIDA,1,-58.38403232,-34.59915940,PEATON - MOTO,PEATON,MOTO
2017-0059,1,2017-05-11,09:24:00,CALLE,1,-58.38223382,-34.62693865,PEATON - PASAJEROS,PEATON,PASAJEROS
2017-0060,1,2017-05-13,07:20:00,AVENIDA,8,-58.45966521,-34.67323292,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2017-0061,1,2017-05-15,13:29:30,AVENIDA,2,-58.39303911,-34.59871111,PEATON - MOTO,PEATON,MOTO
2017-0062,1,2017-05-15,16:00:00,AVENIDA,10,-58.51262106,-34.63395999,MOTO - CARGAS,MOTO,CARGAS
2017-0063,1,2017-05-17,10:13:00,AVENIDA,1,-58.38118367,-34.61646839,PEATON - PASAJEROS,PEATON,PASAJEROS
2017-0064,1,2017-05-20,05:00:00,CALLE,1,-58.37653284,-34.60582475,CARGAS - AUTO,CARGAS,AUTO
2017-0065,1,2017-05-22,16:00:00,AVENIDA,4,-58.37709334,-34.64035082,BICICLETA - CARGAS,BICICLETA,CARGAS
2017-0066,1,2017-05-22,18:10:00,AVENIDA,15,-58.46002142,-34.60409469,PEATON - PASAJEROS,PEATON,PASAJEROS
2017-0067,1,2017-05-23,02:45:00,AVENIDA,6,-58.43381970,-34.62801894,MOTO - CARGAS,MOTO,CARGAS
2017-0068,1,2017-05-27,19:50:00,AVENIDA,8,-58.43580656,-34.66437532,MOTO - OBJETO FIJO,MOTO,OBJETO FIJO
2017-0069,1,2017-05-24,14:15:00,GRAL PAZ,9,-58.52173071,-34.65997463,MOTO - SIN DATO,MOTO,SIN DATO
2017-0070,1,2017-05-30,13:20:00,CALLE,11,-58.50791763,-34.59804273,PEATON - AUTO,PEATON,AUTO
2017-0072,1,2017-06-03,23:20:00,AVENIDA,12,-58.49175088,-34.58226957,AUTO - AUTO,AUTO,AUTO
2017-0073,1,2017-06-04,09:00:00,AVENIDA,3,-58.40781467,-34.60425669,MOTO - AUTO,MOTO,AUTO
2017-0074,1,2017-06-04,12:50:00,CALLE,9,-58.52567073,-34.63787791,SIN DATO - SIN DATO,SIN DATO,SIN DATO
2017-0075,1,2017-06-12,22:38:00,AVENIDA,1,-58.38154200,-34.60906385,PEATON - MOTO,PEATON,MOTO
2017-0076,1,2017-06-13,14:50:00,AVENIDA,2,-58.38526125,-34.57805810,PEATON - CARGAS,PEATON,CARGAS
